date,water,muni,species,qty,size,county,year
2017-04-19,MEADOW B,DURHAM,BROOK TROUT,100,10,Androscoggin County,2017
2017-05-16,MEADOW B,DURHAM,BROOK TROUT,110,10,Androscoggin County,2017
2017-04-19,NEWELL B,DURHAM,BROOK TROUT,150,10,Androscoggin County,2017
2017-05-16,NEWELL B,DURHAM,BROOK TROUT,165,10,Androscoggin County,2017
2017-05-09,NEZINSCOT R,TURNER,BROWN TROUT,1000,8,Androscoggin County,2017
2017-05-30,NEZINSCOT R,TURNER,BROOK TROUT,715,9,Androscoggin County,2017
2017-06-03,NEZINSCOT R,TURNER,BROWN TROUT,40000,2,Androscoggin County,2017
2017-06-15,NEZINSCOT R,TURNER,BROWN TROUT,10000,2,Androscoggin County,2017
2017-10-25,NEZINSCOT R,TURNER,BROWN TROUT,75,12,Androscoggin County,2017
2017-11-09,NEZINSCOT R,TURNER,BROWN TROUT,40,18,Androscoggin County,2017
2017-05-26,PETTINGILL PARK P,AUBURN,BROOK TROUT,220,10,Androscoggin County,2017
2017-05-30,PLEASANT P,TURNER,BROOK TROUT,110,10,Androscoggin County,2017
2017-10-19,PLEASANT P,TURNER,BROOK TROUT,400,13,Androscoggin County,2017
2017-10-30,PLEASANT P,TURNER,L.L. SALMON,50,14,Androscoggin County,2017
2017-03-03,RANGE P (LOWER),POLAND,BROOK TROUT,275,14,Androscoggin County,2017
2017-10-20,RANGE P (LOWER),POLAND,BROOK TROUT,200,13,Androscoggin County,2017
2017-10-20,RANGE P (LOWER),POLAND,BROWN TROUT,300,12,Androscoggin County,2017
2017-04-28,RANGE P (MIDDLE),POLAND,BROWN TROUT,325,8,Androscoggin County,2017
2017-10-20,RANGE P (MIDDLE),POLAND,BROOK TROUT,350,13,Androscoggin County,2017
2017-11-03,RANGE P (MIDDLE),POLAND,RAINBOW TROUT,560,11,Androscoggin County,2017
2017-11-15,RANGE P (MIDDLE),POLAND,BROOK TROUT,35,13,Androscoggin County,2017
2017-12-07,RANGE P (MIDDLE),POLAND,BROOK TROUT,15,17,Androscoggin County,2017
2017-04-28,RANGE P (UPPER),POLAND,BROWN TROUT,150,8,Androscoggin County,2017
2017-10-20,RANGE P (UPPER),POLAND,BROOK TROUT,400,13,Androscoggin County,2017
2017-11-03,RANGE P (UPPER),POLAND,RAINBOW TROUT,258,11,Androscoggin County,2017
2017-11-15,RANGE P (UPPER),POLAND,BROOK TROUT,40,13,Androscoggin County,2017
2017-12-07,RANGE P (UPPER),POLAND,BROOK TROUT,10,17,Androscoggin County,2017
2017-04-27,ROUND P,LIVERMORE,BROOK TROUT,200,9,Androscoggin County,2017
2017-09-28,ROUND P,LIVERMORE,BROWN TROUT,100,11,Androscoggin County,2017
2017-10-04,ROUND P,LIVERMORE,BROWN TROUT,25,18,Androscoggin County,2017
2017-10-19,ROUND P,LIVERMORE,BROOK TROUT,550,13,Androscoggin County,2017
2017-11-07,ROUND P,LIVERMORE,BROOK TROUT,400,7,Androscoggin County,2017
2017-11-15,ROUND P,LIVERMORE,BROOK TROUT,25,19,Androscoggin County,2017
2017-04-24,ROYAL R,AUBURN,BROOK TROUT,200,10,Androscoggin County,2017
2017-05-16,ROYAL R,AUBURN,BROOK TROUT,220,10,Androscoggin County,2017
2017-06-15,ROYAL R,AUBURN,BROWN TROUT,5000,2,Androscoggin County,2017
2017-05-09,STETSON B,LEWISTON,BROWN TROUT,300,8,Androscoggin County,2017
2017-05-30,STETSON B,LEWISTON,BROOK TROUT,165,10,Androscoggin County,2017
2017-06-01,THOMPSON L,POLAND,L.L. SALMON,750,8,Androscoggin County,2017
2017-10-02,TRIPP P,POLAND,BROWN TROUT,400,11,Androscoggin County,2017
2017-10-06,TRIPP P,POLAND,BROWN TROUT,50,18,Androscoggin County,2017
2017-04-27,WORTHLEY P,POLAND,BROOK TROUT,200,10,Androscoggin County,2017
2017-10-02,WORTHLEY P,POLAND,BROWN TROUT,75,11,Androscoggin County,2017
2017-10-26,WORTHLEY P,POLAND,BROOK TROUT,750,9,Androscoggin County,2017
2017-10-26,WORTHLEY P,POLAND,BROOK TROUT,175,13,Androscoggin County,2017
2017-12-07,WORTHLEY P,POLAND,BROOK TROUT,15,17,Androscoggin County,2017
2017-03-26,ARNOLD BROOK L,PRESQUE ISLE,BROOK TROUT,300,9,Aroostook County,2017
2017-11-01,ARNOLD BROOK L,PRESQUE ISLE,BROOK TROUT,1000,13,Aroostook County,2017
2017-05-18,BEAVER TAIL P,T14 R9 WELS,BROOK TROUT,325,10,Aroostook County,2017
2017-10-05,BLACK P,SAINT JOHN PLT,BROOK TROUT,400,7,Aroostook County,2017
2017-04-25,BROWN P,HOULTON,BROOK TROUT,200,10,Aroostook County,2017
2017-10-12,CARRY L,LITTLETON,BROOK TROUT,1500,7,Aroostook County,2017
2017-11-08,CARRY L,LITTLETON,BROOK TROUT,25,17,Aroostook County,2017
2017-05-10,CHURCH ON THE HILL P,HOULTON,BROOK TROUT,150,10,Aroostook County,2017
2017-10-05,COCHRANE L,NEW LIMERICK,BROWN TROUT,200,12,Aroostook County,2017
2017-10-13,COCHRANE L,NEW LIMERICK,SPLAKE,200,14,Aroostook County,2017
2017-05-03,CONROY L,MONTICELLO,BROOK TROUT,500,10,Aroostook County,2017
2017-05-22,CONROY L,MONTICELLO,BROOK TROUT,200,10,Aroostook County,2017
2017-10-13,CONROY L,MONTICELLO,SPLAKE,100,14,Aroostook County,2017
2017-11-08,CONROY L,MONTICELLO,BROOK TROUT,500,8,Aroostook County,2017
2017-11-08,CONROY L,MONTICELLO,BROOK TROUT,25,17,Aroostook County,2017
2017-05-22,CORBIN P,GRAND ISLE,BROOK TROUT,200,10,Aroostook County,2017
2017-11-14,DAIGLE P,NEW CANADA,BROOK TROUT,500,8,Aroostook County,2017
2017-05-22,DAIGLE P (MADAWASKA),MADAWASKA,BROOK TROUT,200,10,Aroostook County,2017
2017-10-30,DEEP L #1,LITTLETON,BROOK TROUT,600,8,Aroostook County,2017
2017-05-09,DEERING L,WESTON,BROOK TROUT,1000,10,Aroostook County,2017
2017-05-18,DEERING L,WESTON,L.L. SALMON,300,7,Aroostook County,2017
2017-11-22,DEERING L,WESTON,BROOK TROUT,300,13,Aroostook County,2017
2017-10-05,DICKWOOD L,EAGLE LAKE,BROOK TROUT,2000,7,Aroostook County,2017
2017-10-05,DREWS (MEDUXNEKEAG) L,LINNEUS,BROWN TROUT,450,12,Aroostook County,2017
2017-10-12,DREWS (MEDUXNEKEAG) L,LINNEUS,SPLAKE,500,14,Aroostook County,2017
2017-10-30,DUREPO L,LIMESTONE,BROOK TROUT,500,13,Aroostook County,2017
2017-11-01,DUREPO L,LIMESTONE,BROOK TROUT,2117,8,Aroostook County,2017
2017-10-11,ECHO L,PRESQUE ISLE,BROOK TROUT,6000,7,Aroostook County,2017
2017-10-17,FAULKNER L,WESTON,BROOK TROUT,250,13,Aroostook County,2017
2017-11-22,FAULKNER L,WESTON,BROOK TROUT,10,17,Aroostook County,2017
2017-10-04,FISH RIVER,FORT KENT,BROOK TROUT,300,13,Aroostook County,2017
2017-10-04,FISH RIVER,FORT KENT,L.L. SALMON,650,13,Aroostook County,2017
2017-05-03,GRAND L (EAST),WESTON,BROOK TROUT,2000,11,Aroostook County,2017
2017-05-04,GRAND L (EAST),ORIENT,BROOK TROUT,1000,11,Aroostook County,2017
2017-05-19,GRAND L (EAST),WESTON,L.L. SALMON,2500,7,Aroostook County,2017
2017-05-19,GRAND L (EAST),ORIENT,L.L. SALMON,1500,7,Aroostook County,2017
2017-10-17,GRAND L (EAST),ORIENT,BROOK TROUT,500,13,Aroostook County,2017
2017-10-17,GRAND L (EAST),WESTON,BROOK TROUT,500,13,Aroostook County,2017
2017-10-05,HALE P,MORO PLT,BROOK TROUT,700,7,Aroostook County,2017
2017-05-09,HANNINGTON P,REED PLT,BROOK TROUT,330,10,Aroostook County,2017
2017-10-12,HANSON BROOK L,MAPLETON,BROOK TROUT,2500,7,Aroostook County,2017
2017-10-05,HODGDON DEADWATER,HODGDON,BROWN TROUT,250,12,Aroostook County,2017
2017-10-20,ISLAND P,T14 R8 WELS,BROOK TROUT,500,7,Aroostook County,2017
2017-05-03,LOGAN L,HOULTON,BROOK TROUT,250,10,Aroostook County,2017
2017-06-08,LONG L,T17 R4 WELS,L.L. SALMON,4200,8,Aroostook County,2017
2017-11-14,MADAWASKA L,T16 R4 WELS,BROOK TROUT,1515,13,Aroostook County,2017
2017-05-31,MANTLE L,PRESQUE ISLE,BROOK TROUT,500,10,Aroostook County,2017
2017-06-20,MATTAWAMKEAG L,T4 R3 WELS,L.L. SALMON,550,8,Aroostook County,2017
2017-10-17,MATTAWAMKEAG L,T4 R3 WELS,L.L. SALMON,1500,13,Aroostook County,2017
2017-05-23,MATTAWAMKEAG R,HAYNESVILLE,BROOK TROUT,1500,10,Aroostook County,2017
2017-05-23,MATTAWAMKEAG R (EAST BRANCH),OAKFIELD,BROOK TROUT,600,10,Aroostook County,2017
2017-05-23,MATTAWAMKEAG R (EAST BRANCH),FORKSTOWN TWP,BROOK TROUT,1000,10,Aroostook County,2017
2017-05-15,MCNALLY P (UPPER),T11 R10 WELS,BROOK TROUT,1000,10,Aroostook County,2017
2017-05-22,MEDUXNEKEAG R (NORTH BRANCH),TC R2 WELS,BROOK TROUT,250,10,Aroostook County,2017
2017-05-22,MEDUXNEKEAG R (NORTH BRANCH),MONTICELLO,BROOK TROUT,250,10,Aroostook County,2017
2017-10-03,MOLUNKUS L,MOLUNKUS TWP,BROOK TROUT,1000,13,Aroostook County,2017
2017-10-03,MOLUNKUS L,MOLUNKUS TWP,L.L. SALMON,450,13,Aroostook County,2017
2017-05-03,MONSON P,FORT FAIRFIELD,BROOK TROUT,2000,10,Aroostook County,2017
2017-04-25,MUD P,LINNEUS,BROOK TROUT,600,10,Aroostook County,2017
2017-12-05,MUD P,LINNEUS,BROOK TROUT,160,14,Aroostook County,2017
2017-12-05,MUD P,LINNEUS,BROOK TROUT,15,17,Aroostook County,2017
2017-05-03,NICKERSON L,NEW LIMERICK,BROOK TROUT,400,10,Aroostook County,2017
2017-05-22,NICKERSON L,NEW LIMERICK,BROOK TROUT,150,10,Aroostook County,2017
2017-10-05,NICKERSON L,NEW LIMERICK,BROWN TROUT,200,12,Aroostook County,2017
2017-10-11,NICKERSON L,NEW LIMERICK,BROOK TROUT,800,13,Aroostook County,2017
2017-11-08,NICKERSON L,NEW LIMERICK,BROOK TROUT,500,8,Aroostook County,2017
2017-11-08,NICKERSON L,NEW LIMERICK,BROOK TROUT,50,17,Aroostook County,2017
2017-10-30,NUMBER NINE L,T9 R3 WELS,BROOK TROUT,550,7,Aroostook County,2017
2017-05-01,PLEASANT L,ISLAND FALLS,BROOK TROUT,2000,10,Aroostook County,2017
2017-05-18,PLEASANT L,ISLAND FALLS,L.L. SALMON,900,7,Aroostook County,2017
2017-05-01,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,300,10,Aroostook County,2017
2017-10-18,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,300,13,Aroostook County,2017
2017-11-22,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,15,17,Aroostook County,2017
2017-11-22,ROCK CRUSHER P,ISLAND FALLS,BROOK TROUT,100,8,Aroostook County,2017
2017-05-15,ROCKABEMA L,MORO PLT,BROOK TROUT,800,10,Aroostook County,2017
2017-05-18,ROUND MOUNTAIN P,T11 R8 WELS,BROOK TROUT,500,10,Aroostook County,2017
2017-10-16,ROWE L,T11 R8 WELS,BROOK TROUT,250,13,Aroostook County,2017
2017-05-18,SAINT FROID L,WINTERVILLE PLT,LAKE TROUT,650,9,Aroostook County,2017
2017-10-18,SCOPAN L,SQUAPAN TWP,SPLAKE,500,13,Aroostook County,2017
2017-10-18,SCOPAN L,T11 R4 WELS,SPLAKE,500,13,Aroostook County,2017
2017-11-01,SCOPAN L,T11 R4 WELS,BROOK TROUT,2000,8,Aroostook County,2017
2017-12-06,SCOPAN L,T11 R4 WELS,BROOK TROUT,89,17,Aroostook County,2017
2017-10-04,SCOPAN STREAM,MASARDIS,L.L. SALMON,350,13,Aroostook County,2017
2017-05-18,SLY BROOK L (THIRD),NEW CANADA,L.L. SALMON,150,8,Aroostook County,2017
2017-10-19,SPAULDING L,OAKFIELD,BROOK TROUT,400,13,Aroostook County,2017
2017-04-25,STEWART P,HODGDON,BROOK TROUT,250,10,Aroostook County,2017
2017-04-25,STILES P,DYER BROOK,BROOK TROUT,250,10,Aroostook County,2017
2017-10-19,STILES P,DYER BROOK,BROOK TROUT,150,7,Aroostook County,2017
2017-10-11,TIMONEY L,OAKFIELD,BROOK TROUT,3000,7,Aroostook County,2017
2017-05-22,TOGUE P,T15 R9 WELS,L.L. SALMON,100,8,Aroostook County,2017
2017-11-01,TRAFTON L,LIMESTONE,BROOK TROUT,2750,8,Aroostook County,2017
2017-10-05,UGH L,T12 R14 WELS,BROOK TROUT,1000,7,Aroostook County,2017
2017-10-16,UMCOLCUS L,T7 R5 WELS,BROOK TROUT,500,13,Aroostook County,2017
2017-04-27,ADAMS P,BRIDGTON,BROOK TROUT,400,10,Cumberland County,2017
2017-04-18,ALDEN'S P,GORHAM,BROOK TROUT,100,10,Cumberland County,2017
2017-05-11,ALDEN'S P,GORHAM,BROOK TROUT,100,10,Cumberland County,2017
2017-10-11,BARKER P,SEBAGO,BROWN TROUT,150,11,Cumberland County,2017
2017-04-28,BEAVER P,WESTBROOK,BROOK TROUT,200,10,Cumberland County,2017
2017-05-16,BRANDY B,NEW GLOUCESTER,BROOK TROUT,110,10,Cumberland County,2017
2017-04-27,CHAFFIN P,WINDHAM,BROOK TROUT,200,10,Cumberland County,2017
2017-11-14,CHAFFIN P,WINDHAM,BROOK TROUT,250,9,Cumberland County,2017
2017-05-11,CHANDLER B,POWNAL,BROWN TROUT,300,8,Cumberland County,2017
2017-05-11,CHANDLER B,NORTH YARMOUTH,BROWN TROUT,150,8,Cumberland County,2017
2017-05-16,CHANDLER B,POWNAL,BROOK TROUT,440,10,Cumberland County,2017
2017-05-16,CHANDLER B,NORTH YARMOUTH,BROOK TROUT,110,10,Cumberland County,2017
2017-06-15,CHANDLER B,POWNAL,BROOK TROUT,13600,3,Cumberland County,2017
2017-06-15,CHANDLER B,NORTH YARMOUTH,BROOK TROUT,6800,3,Cumberland County,2017
2017-05-16,CHANDLER B (EAST BRANCH),POWNAL,BROOK TROUT,550,10,Cumberland County,2017
2017-06-15,CHANDLER B (EAST BRANCH),POWNAL,BROOK TROUT,13600,3,Cumberland County,2017
2017-04-25,COFFEE P,CASCO,SPLAKE,100,10,Cumberland County,2017
2017-05-31,COFFIN P,BRUNSWICK,BROOK TROUT,200,10,Cumberland County,2017
2017-05-16,COLD RAIN P,"NAPLES",BROOK TROUT,330,10,Cumberland County,2017
2017-11-07,COLD RAIN P,"NAPLES",BROOK TROUT,500,9,Cumberland County,2017
2017-11-07,COLD RAIN P,"NAPLES",BROOK TROUT,100,13,Cumberland County,2017
2017-04-24,COLLYER B,GRAY,BROOK TROUT,200,10,Cumberland County,2017
2017-04-27,COLLYER B,GRAY,BROOK TROUT,100,10,Cumberland County,2017
2017-05-11,COLLYER B,GRAY,BROWN TROUT,800,8,Cumberland County,2017
2017-05-16,COLLYER B,GRAY,BROOK TROUT,990,10,Cumberland County,2017
2017-06-20,COLLYER B,GRAY,BROOK TROUT,200,10,Cumberland County,2017
2017-06-01,CRESCENT L,RAYMOND,L.L. SALMON,200,8,Cumberland County,2017
2017-06-01,CRYSTAL (ANONYMOUS) P,HARRISON,L.L. SALMON,75,8,Cumberland County,2017
2017-04-27,CRYSTAL L (DRY P),GRAY,BROOK TROUT,45,16,Cumberland County,2017
2017-04-28,CRYSTAL L (DRY P),GRAY,BROWN TROUT,250,8,Cumberland County,2017
2017-09-15,CRYSTAL L (DRY P),GRAY,RAINBOW TROUT,213,12,Cumberland County,2017
2017-10-26,CRYSTAL L (DRY P),GRAY,BROOK TROUT,285,13,Cumberland County,2017
2017-11-15,CRYSTAL L (DRY P),GRAY,BROOK TROUT,28,13,Cumberland County,2017
2017-12-08,CRYSTAL L (DRY P),GRAY,BROOK TROUT,15,17,Cumberland County,2017
2017-12-13,CRYSTAL L (DRY P),GRAY,BROOK TROUT,300,13,Cumberland County,2017
2017-12-13,CRYSTAL L (DRY P),GRAY,BROOK TROUT,10,16,Cumberland County,2017
2017-10-25,HIGHLAND L,BRIDGTON,BROWN TROUT,600,12,Cumberland County,2017
2017-11-14,HINKLEY P (LOWER),SOUTH PORTLAND,BROOK TROUT,200,9,Cumberland County,2017
2017-11-14,HINKLEY P (LOWER),SOUTH PORTLAND,BROOK TROUT,50,13,Cumberland County,2017
2017-11-14,HINKLEY P (UPPER),SOUTH PORTLAND,BROOK TROUT,200,9,Cumberland County,2017
2017-11-14,HINKLEY P (UPPER),SOUTH PORTLAND,BROOK TROUT,50,13,Cumberland County,2017
2017-04-19,JORDAN R,RAYMOND,BROOK TROUT,300,10,Cumberland County,2017
2017-05-17,JORDAN R,RAYMOND,BROOK TROUT,330,10,Cumberland County,2017
2017-05-04,LILY P,NEW GLOUCESTER,RAINBOW TROUT,255,9,Cumberland County,2017
2017-04-18,LITTLE R,GORHAM,BROOK TROUT,550,10,Cumberland County,2017
2017-05-08,LITTLE R,GORHAM,BROWN TROUT,1000,8,Cumberland County,2017
2017-05-12,LITTLE R,GORHAM,BROOK TROUT,550,10,Cumberland County,2017
2017-06-15,LITTLE R,GORHAM,BROOK TROUT,15000,3,Cumberland County,2017
2017-04-18,LITTLE R (NORTH BRANCH),GORHAM,BROOK TROUT,100,10,Cumberland County,2017
2017-05-08,LITTLE R (NORTH BRANCH),GORHAM,BROWN TROUT,300,8,Cumberland County,2017
2017-05-12,LITTLE R (NORTH BRANCH),GORHAM,BROOK TROUT,100,10,Cumberland County,2017
2017-05-02,LONG L,HARRISON,BROWN TROUT,500,8,Cumberland County,2017
2017-06-01,LONG L,HARRISON,L.L. SALMON,1375,8,Cumberland County,2017
2017-06-01,LONG L,BRIDGTON,L.L. SALMON,875,8,Cumberland County,2017
2017-11-03,LONG L,HARRISON,BROWN TROUT,95,18,Cumberland County,2017
2017-11-29,LONG L,HARRISON,L.L. SALMON,1450,6,Cumberland County,2017
2017-11-29,LONG L,BRIDGTON,L.L. SALMON,1450,6,Cumberland County,2017
2017-04-18,MILL B,WESTBROOK,BROOK TROUT,150,10,Cumberland County,2017
2017-05-08,MILL B,WESTBROOK,BROWN TROUT,250,8,Cumberland County,2017
2017-05-12,MILL B,WESTBROOK,BROOK TROUT,150,10,Cumberland County,2017
2017-04-25,MUDDY R,"NAPLES",BROOK TROUT,150,10,Cumberland County,2017
2017-05-17,MUDDY R,"NAPLES",BROOK TROUT,330,10,Cumberland County,2017
2017-06-15,MUDDY R,"NAPLES",BROOK TROUT,300,10,Cumberland County,2017
2017-06-15,MUDDY R,"NAPLES",BROOK TROUT,5000,3,Cumberland County,2017
2017-05-08,NONESUCH R,SCARBOROUGH,BROWN TROUT,450,8,Cumberland County,2017
2017-04-19,NORTHWEST R,SEBAGO,BROOK TROUT,200,10,Cumberland County,2017
2017-05-16,NORTHWEST R,SEBAGO,BROOK TROUT,220,10,Cumberland County,2017
2017-04-27,OTTER P #2,STANDISH,BROOK TROUT,27,16,Cumberland County,2017
2017-04-27,OTTER P #2,STANDISH,BROOK TROUT,200,10,Cumberland County,2017
2017-11-14,OTTER P #2,STANDISH,BROOK TROUT,600,9,Cumberland County,2017
2017-11-14,OTTER P #2,STANDISH,BROOK TROUT,125,13,Cumberland County,2017
2017-11-29,OTTER P #2,STANDISH,BROOK TROUT,15,17,Cumberland County,2017
2017-01-20,OTTER P #4,STANDISH,BROOK TROUT,25,14,Cumberland County,2017
2017-04-27,OTTER P #4,STANDISH,BROOK TROUT,100,10,Cumberland County,2017
2017-11-14,OTTER P #4,STANDISH,BROOK TROUT,38,13,Cumberland County,2017
2017-11-14,OTTER P #4,STANDISH,BROOK TROUT,300,9,Cumberland County,2017
2017-11-29,OTTER P #4,STANDISH,BROOK TROUT,10,17,Cumberland County,2017
2017-06-01,PANTHER P,RAYMOND,L.L. SALMON,450,8,Cumberland County,2017
2017-10-20,PARKER P,CASCO,BROOK TROUT,200,13,Cumberland County,2017
2017-06-01,PEABODY P,SEBAGO,L.L. SALMON,350,8,Cumberland County,2017
2017-05-02,PETTINGILL P,WINDHAM,BROWN TROUT,80,8,Cumberland County,2017
2017-04-11,PINELAND P,NEW GLOUCESTER,BROOK TROUT,200,10,Cumberland County,2017
2017-05-16,PINELAND P,NEW GLOUCESTER,BROOK TROUT,165,10,Cumberland County,2017
2017-05-11,PISCATAQUA R,FALMOUTH,BROWN TROUT,900,8,Cumberland County,2017
2017-05-11,PISCATAQUA R,CUMBERLAND,BROWN TROUT,250,8,Cumberland County,2017
2017-05-16,PISCATAQUA R,CUMBERLAND,BROOK TROUT,165,10,Cumberland County,2017
2017-05-16,PISCATAQUA R,FALMOUTH,BROOK TROUT,165,10,Cumberland County,2017
2017-04-18,PLEASANT R,WINDHAM,BROOK TROUT,500,10,Cumberland County,2017
2017-05-08,PLEASANT R,WINDHAM,BROWN TROUT,750,8,Cumberland County,2017
2017-05-10,PLEASANT R,WINDHAM,BROWN TROUT,700,8,Cumberland County,2017
2017-05-12,PLEASANT R,WINDHAM,BROOK TROUT,500,10,Cumberland County,2017
2017-05-18,PLEASANT R,WINDHAM,BROWN TROUT,20000,2,Cumberland County,2017
2017-04-12,PRESUMPSCOT R,WINDHAM,BROOK TROUT,200,10,Cumberland County,2017
2017-04-18,PRESUMPSCOT R,WINDHAM,BROOK TROUT,200,10,Cumberland County,2017
2017-04-28,PRESUMPSCOT R,WINDHAM,BROOK TROUT,47,16,Cumberland County,2017
2017-05-03,PRESUMPSCOT R,WINDHAM,BROOK TROUT,200,10,Cumberland County,2017
2017-05-10,PRESUMPSCOT R,WINDHAM,BROWN TROUT,1050,8,Cumberland County,2017
2017-05-10,PRESUMPSCOT R,WESTBROOK,BROWN TROUT,400,8,Cumberland County,2017
2017-05-17,PRESUMPSCOT R,WINDHAM,BROOK TROUT,220,10,Cumberland County,2017
2017-05-17,PRESUMPSCOT R,WINDHAM,BROOK TROUT,45,16,Cumberland County,2017
2017-05-18,PRESUMPSCOT R,WINDHAM,BROWN TROUT,900,8,Cumberland County,2017
2017-05-19,PRESUMPSCOT R,WINDHAM,BROOK TROUT,660,10,Cumberland County,2017
2017-06-02,PRESUMPSCOT R,WINDHAM,BROOK TROUT,100,16,Cumberland County,2017
2017-06-02,PRESUMPSCOT R,WINDHAM,BROOK TROUT,300,10,Cumberland County,2017
2017-06-14,PRESUMPSCOT R,WINDHAM,BROOK TROUT,28,16,Cumberland County,2017
2017-06-14,PRESUMPSCOT R,WINDHAM,BROOK TROUT,300,10,Cumberland County,2017
2017-10-19,PRESUMPSCOT R,WINDHAM,BROOK TROUT,350,13,Cumberland County,2017
2017-11-01,PRESUMPSCOT R,WINDHAM,BROOK TROUT,200,13,Cumberland County,2017
2017-11-14,PRESUMPSCOT R,WINDHAM,BROWN TROUT,75,18,Cumberland County,2017
2017-11-15,PRESUMPSCOT R,WINDHAM,BROOK TROUT,110,13,Cumberland County,2017
2017-12-01,PRESUMPSCOT R,WINDHAM,BROOK TROUT,15,17,Cumberland County,2017
2017-12-01,PRESUMPSCOT R,WINDHAM,BROOK TROUT,100,13,Cumberland County,2017
2017-04-24,ROYAL R,YARMOUTH,BROOK TROUT,200,10,Cumberland County,2017
2017-04-24,ROYAL R,NEW GLOUCESTER,BROOK TROUT,200,10,Cumberland County,2017
2017-05-10,ROYAL R,NEW GLOUCESTER,BROWN TROUT,200,8,Cumberland County,2017
2017-05-11,ROYAL R,NORTH YARMOUTH,BROWN TROUT,300,8,Cumberland County,2017
2017-05-11,ROYAL R,NEW GLOUCESTER,BROWN TROUT,150,8,Cumberland County,2017
2017-05-11,ROYAL R,YARMOUTH,BROWN TROUT,600,8,Cumberland County,2017
2017-05-16,ROYAL R,NEW GLOUCESTER,BROOK TROUT,330,10,Cumberland County,2017
2017-05-17,ROYAL R,YARMOUTH,BROOK TROUT,220,10,Cumberland County,2017
2017-05-18,ROYAL R,NEW GLOUCESTER,BROWN TROUT,10000,1,Cumberland County,2017
